
Delhi,28.66,77.23,India
Mumbai,18.9667,72.8333,India
Kolkāta,22.5411,88.3378,India
Bangalore,12.9699,77.598,India
Chennai,13.0825,80.275,India
Hyderābād,17.3667,78.4667,India
Pune,18.5196,73.8553,India
Ahmedabad,23.03,72.58,India
Sūrat,21.17,72.83,India
Lucknow,26.847,80.947,India
Jaipur,26.9167,75.8667,India
Cawnpore,26.4725,80.3311,India
Mirzāpur,25.15,82.58,India
Nāgpur,21.1539,79.0831,India
Ghāziābād,28.6667,77.4167,India
Indore,22.7206,75.8472,India
Vadodara,22.3,73.2,India
Vishākhapatnam,17.7333,83.3167,India
Bhopāl,23.25,77.4167,India
Chinchvad,18.6278,73.8131,India
Patna,25.61,85.1414,India
Ludhiāna,30.9083,75.8486,India
Āgra,27.18,78.02,India
Kalyān,19.2502,73.1602,India
Madurai,9.9197,78.1194,India
Jamshedpur,22.8,86.1833,India
Nāsik,20,73.7833,India
Farīdābād,28.4333,77.3167,India
Aurangābād,19.88,75.32,India
Rājkot,22.2969,70.7984,India
Meerut,28.99,77.7,India
Jabalpur,23.1667,79.9333,India
Thāne,19.18,72.9633,India
Dhanbād,23.7928,86.435,India
Allahābād,25.455,81.84,India
Vārānasi,25.3189,83.0128,India
Srīnagar,34.0911,74.8061,India
Amritsar,31.6167,74.85,India
Alīgarh,27.88,78.08,India
Bhiwandi,19.3,73.0667,India
Gwalior,26.215,78.1931,India
Bhilai,21.2167,81.4333,India
Hāora,22.59,88.31,India
Rānchi,23.3556,85.3347,India
Bezwāda,16.5167,80.6167,India
Chandīgarh,30.7353,76.7911,India
Mysore,12.3086,76.6531,India
Raipur,21.2379,81.6337,India
Kota,25.18,75.83,India
Bareilly,28.364,79.415,India
Jodhpur,26.2918,73.0168,India
Coimbatore,11,76.9667,India
Dispur,26.15,91.77,India
Guwāhāti,26.1667,91.7667,India
Solāpur,17.6833,75.9167,India
Trichinopoly,10.8269,78.6928,India
Hubli,15.36,75.125,India
Jalandhar,31.3256,75.5792,India
Bhubaneshwar,20.2644,85.8281,India
Bhayandar,19.3,72.85,India
Morādābād,28.8418,78.7568,India
Kolhāpur,16.7,74.2333,India
Thiruvananthapuram,8.5,76.8997,India
Sahāranpur,29.964,77.546,India
Warangal,17.9756,79.6011,India
Salem,11.65,78.1667,India
Mālegaon,20.55,74.55,India
Kochi,9.9667,76.2833,India
Gorakhpur,26.7611,83.3667,India
Shimoga,13.9304,75.56,India
Tiruppūr,11.1075,77.3398,India
Guntūr,16.3,80.45,India
Raurkela,22.2492,84.8828,India
Mangalore,12.8703,74.8806,India
Nānded,19.15,77.3333,India
Cuttack,20.45,85.8667,India
Chānda,19.95,79.3,India
Dehra Dūn,30.318,78.029,India
Durgāpur,23.55,87.32,India
Āsansol,23.6833,86.9667,India
Bhāvnagar,21.765,72.1369,India
Amrāvati,20.9333,77.75,India
Nellore,14.4333,79.9667,India
Ajmer,26.468,74.639,India
Tinnevelly,8.7289,77.7081,India
Bīkaner,28.0181,73.3169,India
Agartala,23.8333,91.2667,India
Ujjain,23.1828,75.7772,India
Jhānsi,25.4486,78.5696,India
Ulhāsnagar,19.2167,73.15,India
Davangere,14.4667,75.9167,India
Jammu,32.7333,74.85,India
Belgaum,15.8667,74.5,India
Gulbarga,17.3333,76.8333,India
Jāmnagar,22.47,70.07,India
Dhūlia,20.9,74.7833,India
Gaya,24.75,85.0167,India
Jalgaon,21.0167,75.5667,India
Kurnool,15.8222,78.035,India
Udaipur,24.5833,73.6833,India
Bellary,15.15,76.915,India
Sāngli,16.8667,74.5667,India
Tuticorin,8.7833,78.1333,India
Calicut,11.25,75.7667,India
Akola,20.7333,77,India
Bhāgalpur,25.25,87.0167,India
Sīkar,27.6119,75.1397,India
Tumkūr,13.33,77.1,India
Quilon,8.8853,76.5864,India
Muzaffarnagar,29.4708,77.7033,India
Bhīlwāra,25.35,74.6333,India
Nizāmābād,18.6704,78.1,India
Bhātpāra,22.8667,88.4167,India
Kākināda,16.9333,82.2167,India
Parbhani,19.2704,76.76,India
Pānihāti,22.69,88.37,India
Lātūr,18.4004,76.57,India
Rohtak,28.9,76.5667,India
Rājapālaiyam,9.4204,77.58,India
Ahmadnagar,19.0833,74.7333,India
Cuddapah,14.4667,78.8167,India
Rājahmundry,16.9833,81.7833,India
Alwar,27.5667,76.6167,India
Muzaffarpur,26.12,85.3833,India
Bilāspur,22.15,82.0167,India
Mathura,27.4833,77.6833,India
Kāmārhāti,22.67,88.37,India
Patiāla,30.3204,76.385,India
Saugor,23.8504,78.75,India
Bijāpur,16.8244,75.7154,India
Brahmapur,19.32,84.8,India
Shāhjānpur,27.8804,79.905,India
Trichūr,10.52,76.21,India
Barddhamān,23.25,87.85,India
Kulti,23.73,86.85,India
Sambalpur,21.4704,83.9701,India
